name,constit,party1,pw_name,party2,party_change,by_elec,cl_wikidataid,cl_pageid,cl_wikititle,iraq_inv,iraq_inv_source,iraq_inv_link,party3
Charlotte Atkins,Staffordshire Moorlands,Lab,Charlotte Atkins,,0,0,Q4936901,93468,Charlotte_Atkins,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Cheryl Gillan,Chesham and Amersham,Con,Dame Cheryl Gillan,,0,0,Q333852,426679,Cheryl_Gillan,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Chris Bryant,Rhondda,Lab,Chris Bryant,,0,0,Q266146,235641,Chris_Bryant,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Chris Grayling,Epsom and Ewell,Con,Chris Grayling,,0,0,Q337453,427337,Chris_Grayling,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Chris Leslie,Shipley,Lab,Chris Leslie,,0,0,Q749759,428608,Chris_Leslie,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Christine McCafferty,Calder Valley,Lab,Chris McCafferty,,0,0,Q4966571,434705,Christine_McCafferty,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Chris Mole,Ipswich,Lab,Chris Mole,,0,2,Q5107475,419533,Chris_Mole,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Chris Mullin,Sunderland South,Lab,Chris Mullin,,0,0,Q5107532,415127,Chris_Mullin_(politician),Against Invasion,Chris Mullin voted to say that the case for war against Iraq has not yet been established,https://www.theyworkforyou.com/mp/10451/chris_mullin/sunderland_south/divisions?policy=1049,Labour
Chris Pond,Gravesham,Lab,Mr Chris Pond,,0,0,Q5107784,433853,Chris_Pond,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Chris Ruane,Vale of Clwyd,Lab,Chris Ruane,,0,0,Q479188,449436,Chris_Ruane,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Chris Smith,Islington South and Finsbury,Lab,Mr Chris Smith,,0,0,Q333264,304477,"Chris_Smith,_Baron_Smith_of_Finsbury",Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Christine Russell,City of Chester,Lab,Christine Russell,,0,0,Q16107112,449441,Christine_Russell,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Christopher Chope,Christchurch,Con,Christopher Chope,,0,0,Q271715,419388,Christopher_Chope,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Claire Curtis-Thomas,Crosby,Lab,Claire Curtis-Thomas,,0,0,Q4943807,419526,Claire_Curtis-Thomas,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Claire Ward,Watford,Lab,Claire Ward,,0,0,Q4990196,434960,Claire_Ward,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Clare Short,"Birmingham, Ladywood",Lab,Clare Short,,0,0,Q333550,194194,Clare_Short,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Clive Betts,"Sheffield, Attercliffe",Lab,Clive Betts,,0,0,Q263508,414659,Clive_Betts,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Clive Efford,Eltham,Lab,Clive Efford,,0,0,Q302939,420136,Clive_Efford,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Clive Soley,"Ealing, Acton and Shepherd's Bush",Lab,Mr Clive Soley,,0,0,Q1101999,450457,Clive_Soley,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Colin Breed,South East Cornwall,LDem,Colin Breed,,0,0,Q337608,414704,Colin_Breed,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Colin Burgon,Elmet,Lab,Colin Burgon,,0,0,Q337923,414811,Colin_Burgon,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Colin Challen,Morley and Rothwell,Lab,Colin Challen,,0,0,Q337792,419364,Colin_Challen,Against Invasion,Colin Challen voted to say the case for military action against Iraq is as yet unproven,https://www.theyworkforyou.com/mp/10790/colin_challen/morley_and_rothwell/votes,Labour
Colin Pickthall,West Lancashire,Lab,Mr Colin Pickthall,,0,0,Q5145480,433833,Colin_Pickthall,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Crispin Blunt,Reigate,Con,Crispin Blunt,,0,0,Q264305,219787,Crispin_Blunt,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Dai Havard,Merthyr Tydfil and Rhymney,Lab,Dai Havard,,0,0,Q478565,426397,Dai_Havard,Against Invasion,Full list of anti-war MPs in last night's vote...Dai Havard,https://www.theguardian.com/politics/2003/mar/19/uk.houseofcommons3,Labour
Damian Green,Ashford,Con,Damian Green,,0,0,Q391960,416909,Damian_Green,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Dan Norris,Wansdyke,Lab,Dan Norris,,0,0,Q5214105,415006,Dan_Norris,Pro Invasion,Dan Norris consistently voted for the Iraq war,https://www.theyworkforyou.com/mp/10458/dan_norris/wansdyke/divisions?policy=1049,Labour
Dari Taylor,Stockton South,Lab,Dari Taylor,,0,0,Q5222678,435654,Dari_Taylor,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Leonard Watts,St Helens North,Lab,Dave Watts,,0,0,Q263882,434968,"David_Watts,_Baron_Watts",Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Amess,Southend West,Con,Sir David Amess,,0,0,Q259646,413956,David_Amess,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
David Atkinson,Bournemouth East,Con,Mr David Atkinson,,0,0,Q338243,413993,David_Atkinson_(politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
David Blunkett,"Sheffield, Brightside",Lab,David Blunkett,,0,0,Q264196,8065844,David_Blunkett,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Borrow,South Ribble,Lab,David Borrow,,0,0,Q334100,414673,David_Borrow,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Burnside,South Antrim,UUP,David Burnside,Independent,1,0,Q338273,414825,David_Burnside,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
David Cairns,Greenock and Inverclyde,Lab,David Cairns,,0,0,Q3275,419324,David_Cairns_(politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Cameron,Witney,Con,David Cameron,,0,0,Q192,419342,David_Cameron,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
David Chaytor,Bury North,Lab,David Chaytor,,0,0,Q337843,419372,David_Chaytor,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Chidgey,Eastleigh,LDem,Mr David Chidgey,,0,0,Q336133,419376,"David_Chidgey,_Baron_Chidgey",Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
David Clelland,Tyne Bridge,Lab,David Clelland,,0,0,Q338342,419408,David_Clelland,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Crausby,Bolton North East,Lab,David Crausby,,0,0,Q291441,419516,David_Crausby,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Curry,Skipton and Ripon,Con,David Curry,,0,0,Q338176,413947,David_Curry,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
David Davis,Haltemprice and Howden,Con,David Davis,,0,0,Q300023,352474,David_Davis_(British_politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
David Drew,Stroud,Lab,David Drew,,0,0,Q728653,420216,David_Drew_(politician),Against Invasion,Full list of anti-war MPs in last night's vote...David Drew,https://www.theguardian.com/politics/2003/mar/19/uk.houseofcommons3,Labour
David Hamilton,Midlothian,Lab,David Hamilton,,0,0,Q392524,643191,David_Hamilton_(politician),Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Hanson,Delyn,Lab,David Hanson,,0,0,Q478248,1368464,David_Hanson_(politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Heath,Somerton and Frome,LDem,David Heath,,0,0,Q673199,434700,David_Heath_(politician),Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
David Heathcoat-Amory,Wells,Con,David Heathcoat-Amory,,0,0,Q333039,414010,David_Heathcoat-Amory,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
David Heyes,Ashton-under-Lyne,Lab,David Heyes,,0,0,Q676471,434642,David_Heyes,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Hinchliffe,Wakefield,Lab,Mr David Hinchliffe,,0,0,Q5235015,434647,David_Hinchliffe,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Jamieson,"Plymouth, Devonport",Lab,Mr David Jamieson,,0,0,Q5235586,427362,David_Jamieson_(British_politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Kidney,Stafford,Lab,David Kidney,,0,0,Q5235988,427652,David_Kidney,Against Invasion,Full list of anti-war MPs in last night's vote…David Kidney,https://www.theguardian.com/politics/2003/mar/19/uk.houseofcommons3,Labour
David Lammy,Tottenham,Lab,David Lammy,,0,0,Q534727,428588,David_Lammy,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Laws,Yeovil,LDem,David Laws,,0,0,Q333663,427593,David_Laws,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
David Lepper,"Brighton, Pavilion",Lab,David Lepper,,0,0,Q5236506,428604,David_Lepper,Against Invasion,Full list of anti-war MPs in last night's vote…David Lepper,https://www.theguardian.com/politics/2003/mar/19/uk.houseofcommons3,Labour
David Lidington,Aylesbury,Con,David Lidington,,0,0,Q748837,428640,David_Lidington,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
David Maclean,Penrith and The Border,Con,David Maclean,,0,0,Q1175443,414504,David_Maclean,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
David Marshall,Glasgow Shettleston,Lab,David Marshall,,0,0,Q5237158,2001362,David_Marshall_(British_politician),Against Invasion,David Marshall voted to say the case for military action against Iraq is as yet unproven,https://www.theyworkforyou.com/mp/10417/david_marshall/glasgow_east/divisions?policy=1049,Labour
David Miliband,South Shields,Lab,David Miliband,,0,0,Q272670,19339264,David_Miliband,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Rendel,Newbury,LDem,Mr David Rendel,,0,0,Q5238989,417468,David_Rendel,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
David Ruffley,Bury St Edmunds,Con,David Ruffley,,0,0,Q479098,449439,David_Ruffley,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
David Stewart,"Inverness East, Nairn and Lochaber",Lab,Mr David Stewart,,0,0,Q1176741,450492,David_Stewart_(Scottish_politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Taylor,North West Leicestershire,Lab,David Taylor,,0,0,Q5240284,435656,David_Taylor_(Labour_politician),Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Tredinnick,Bosworth,Con,David Tredinnick,,0,0,Q272259,420324,David_Tredinnick_(politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
David Trimble,Upper Bann,UUP,Rt Hon David Trimble,,0,0,Q192556,229108,David_Trimble,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
David Willetts,Havant,Con,David Willetts,,0,0,Q266064,415061,David_Willetts,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
David Wilshire,Spelthorne,Con,David Wilshire,,0,0,Q337544,449358,David_Wilshire,Pro Invasion,David Wilshire voted to endorse UN Security Council resolution 1441 giving Iraq a final opportunity to comply with its disarmament obligations.,https://www.theyworkforyou.com/mp/10643/david_wilshire/spelthorne/divisions?policy=1049,Conservative
David Winnick,Walsall North,Lab,David Winnick,,0,0,Q261900,434987,David_Winnick,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
David Wright,Telford,Lab,David Wright,,0,0,Q260844,421673,David_Wright_(politician),Against Invasion,Full list of anti-war MPs in last night's vote…David Wright,https://www.theguardian.com/politics/2003/mar/19/uk.houseofcommons3,Labour
Dawn Primarolo,Bristol South,Lab,Dawn Primarolo,,0,0,Q575217,419603,Dawn_Primarolo,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Debra Shipley,Stourbridge,Lab,Ms Debra Shipley,,0,0,Q5248514,450377,Debra_Shipley,Against Invasion,Ms Debra Shipley voted to say that the case for war against Iraq has not yet been established,https://www.theyworkforyou.com/mp/10539/debra_shipley/stourbridge/divisions?policy=1049,Labour
Denis MacShane,Rotherham,Lab,Denis MacShane,,0,0,Q695061,417475,Denis_MacShane,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Denis Murphy,Wansbeck,Lab,Denis Murphy,,0,0,Q5257415,435634,Denis_Murphy_(British_politician),Against Invasion,Full list of anti-war MPs in last night's vote…Denis Murphy,https://www.theguardian.com/politics/2003/mar/19/uk.houseofcommons3,Labour
Dennis Skinner,Bolsover,Lab,Dennis Skinner,,0,0,Q391437,367560,Dennis_Skinner,Against Invasion,Veteran left-winger and anti-Iraq war MP Dennis Skinner abstained - but this is only because he was in hospital after a double heart bypass.,https://www.mirror.co.uk/news/uk-news/how-mp-vote-iraq-war-8355179,Labour
Dennis Turner,Wolverhampton South East,Lab,Mr Dennis Turner,,0,0,Q1189567,450321,Dennis_Turner,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Denzil Davies,Llanelli,Lab,Mr Denzil Davies,,0,0,Q338044,413998,Denzil_Davies,Against Invasion,"The Labour MPs who backed a rebel backbench amendment that the case for war with Iraq was ""unproven""…Denzil Davies",http://news.bbc.co.uk/2/hi/uk_news/politics/2802819.stm,Labour
Derek Conway,Old Bexley and Sidcup,Con,Derek Conway,,0,0,Q337552,417452,Derek_Conway,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Derek Foster,Bishop Auckland,Lab,Mr Derek Foster,,0,0,Q1200029,413995,"Derek_Foster,_Baron_Foster_of_Bishop_Auckland",Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Derek Twigg,Halton,Lab,Derek Twigg,,0,0,Q272098,450326,Derek_Twigg,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Derek Wyatt,Sittingbourne and Sheppey,Lab,Derek Wyatt,,0,0,Q5262483,421668,Derek_Wyatt,Against Invasion,"The Labour MPs who backed a rebel backbench amendment that the case for war with Iraq was ""unproven""…Derek Wyatt",http://news.bbc.co.uk/2/hi/uk_news/politics/2802819.stm,Labour
Des Browne,Kilmarnock and Loudoun,Lab,Des Browne,,0,0,Q332587,414755,Des_Browne,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Desmond Swayne,New Forest West,Con,Desmond Swayne,,0,0,Q327823,450516,Desmond_Swayne,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Des Turner,"Brighton, Kemptown",Lab,Desmond Turner,,0,0,Q5263565,450325,Des_Turner,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Diana Mary Organ,Forest of Dean,Lab,Mrs Diana Organ,,0,0,Q5271257,422812,Diana_Organ,Against Invasion,Mrs Diana Organ voted to say that the case for war against Iraq has not yet been established,https://www.theyworkforyou.com/mp/10466/diana_organ/forest_of_dean/divisions?policy=1049,Labour
Diane Abbott,Hackney North and Stoke Newington,Lab,Diane Abbott,,0,0,Q153454,79409,Diane_Abbott,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Dominic Grieve,Beaconsfield,Con,Dominic Grieve,,0,0,Q332994,427339,Dominic_Grieve,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Don Foster,Bath,LDem,Don Foster,,0,0,Q390737,268161,"Don_Foster,_Baron_Foster_of_Bath",Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Don Touhig,Islwyn,Lab,Don Touhig,,0,0,Q334278,417490,Don_Touhig,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Donald Anderson,Swansea East,Lab,Mr Donald Anderson,,0,0,Q334411,227343,"Donald_Anderson,_Baron_Anderson_of_Swansea",Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Doug Henderson,Newcastle upon Tyne North,Lab,Doug Henderson,,0,0,Q5300550,434630,Doug_Henderson_(Labour_politician),Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Doug Naysmith,Bristol North West,Lab,Doug Naysmith,,0,0,Q5300773,415009,Doug_Naysmith,Against Invasion,Doug Naysmith voted to say that the case for war against Iraq has not yet been established,https://www.theyworkforyou.com/mp/10455/doug_naysmith/bristol_north_west/divisions?policy=1049,Labour
Douglas Alexander,Paisley South,Lab,Douglas Alexander,,0,0,Q259106,413965,Douglas_Alexander,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Douglas Hogg,Sleaford and North Hykeham,Con,Douglas Hogg,,0,0,Q333964,414018,Douglas_Hogg,Against Invasion,Acted as teller for a vote on Iraq — Case for war not established ,https://www.theyworkforyou.com/peer/10283/viscount_hailsham/divisions?policy=1049,Conservative
Eddie McGrady,South Down,SDLP,Eddie McGrady,,0,0,Q5336300,417503,Eddie_McGrady,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Edward Davey,Kingston and Surbiton,LDem,Edward Davey,,0,0,Q296689,420166,Ed_Davey,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Edward Garnier,Harborough,Con,Edward Garnier,,0,0,Q334339,426650,Edward_Garnier,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Edward Leigh,Gainsborough,Con,Edward Leigh,,0,0,Q749980,428603,Edward_Leigh,Against Invasion,"Sir Edward Leigh, the Conservative Member of Parliament for Gainsborough, has attacked the rush to invade the Middle Eastern country in 2003",https://www.gainsboroughconservatives.org.uk/news/sir-edward-iraq-war-never-again,Conservative
Edward O'Hara,Knowsley South,Lab,Edward O'Hara,,0,0,Q5344667,422805,Eddie_O'Hara,Against Invasion,Edward O'Hara voted to say that the case for war against Iraq has not yet been established,https://www.theyworkforyou.com/mp/10462/edward_o%27hara/knowsley_south/divisions?policy=1049,Labour
Eleanor Laing,Epping Forest,Con,Eleanor Laing,,0,0,Q750188,428585,Eleanor_Laing,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Elfyn Llwyd,Meirionnydd Nant Conwy,PC,Elfyn Llwyd,,0,0,Q333590,416928,Elfyn_Llwyd,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Elliot Morley,Scunthorpe,Lab,Elliot Morley,,0,0,Q5365535,421690,Elliot_Morley,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Eric Forth,Bromley and Chislehurst,Con,Eric Forth,,0,0,Q5386503,413984,Eric_Forth,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Eric Illsley,Barnsley Central,Lab,Eric Illsley,,0,0,Q5386775,415014,Eric_Illsley,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Eric Joyce,Falkirk West,Lab,Eric Joyce,,0,0,Q750364,427381,Eric_Joyce,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Eric Martlew,Carlisle,Lab,Eric Martlew,,0,0,Q5387054,434917,Eric_Martlew,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Eric Pickles,Brentwood and Ongar,Con,Eric Pickles,,0,0,Q333493,421730,Eric_Pickles,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Ernie Ross,Dundee West,Lab,Mr Ernie Ross,,0,0,Q5394713,449430,Ernie_Ross,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Estelle Morris,"Birmingham, Yardley",Lab,Ms Estelle Morris,,0,0,Q333326,356854,Estelle_Morris,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Evan Harris,Oxford West and Abingdon,LDem,Evan Harris,,0,0,Q773876,434611,Evan_Harris,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Fabian Hamilton,Leeds North East,Lab,Fabian Hamilton,,0,0,Q337812,434604,Fabian_Hamilton,Against Invasion,Fabian Hamilton voted to say that the case for war against Iraq has not yet been established,https://www.theyworkforyou.com/mp/10256/fabian_hamilton/leeds_north_east/divisions?policy=1049,Labour
Fiona Mactaggart,Slough,Lab,Fiona Mactaggart,,0,0,Q695047,420566,Fiona_Mactaggart,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Francis Maude,Horsham,Con,Francis Maude,,0,0,Q333986,414931,Francis_Maude,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Frank Cook,Stockton North,Lab,Frank Cook,,0,0,Q5485932,415176,Frank_Cook_(politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Frank Dobson,Holborn and St Pancras,Lab,Frank Dobson,,0,0,Q300182,349798,Frank_Dobson,Against Invasion,Frank Dobson voted to say that the case for war against Iraq has not yet been established,https://www.theyworkforyou.com/mp/10171/frank_dobson/holborn_and_st_pancras/divisions?policy=1049,Labour
Frank Doran,Aberdeen Central,Lab,Frank Doran,,0,0,Q300334,420203,Frank_Doran_(British_politician),Against Invasion,Frank Doran voted to say that the case for war against Iraq has not yet been established,https://www.theyworkforyou.com/mp/10174/frank_doran/aberdeen_north/divisions?policy=1049,Labour
